Name,Ward No,Block Number,North,East,South,West
Banshidhar,10,27,Starting from rohal cottage of Basti ram rohal walking on the path upwards upto The Euphoria grand(a unit of sanobar hotels) covering thakur niwas of rajender thakur.,From The Euphoria grand(a unit of sanobar hotels) walking downwards upto the point opposite to kamhet niwas(excluded) on the stairs.,"From the point on the stairs opposite to Kamhet niwas (excluded) walking downwards along the staircase upto the link road below verma flats block b near negi coach house(excluded) covering himral niwas, sumitra niwas.","From the point below verma flats block b walking along the link road upto rohal cottage of Basti ram rohal covering peyong house, hemant lodge, sushma sadan."
Banshidhar,9,1,"Starting from Roorkee niwas walking along the chakkar bouileuganj bypass road upto the bypass turn covering dhir niwas, verma building, royal view bnb, oak cottage.",From the bypass turn walking along the NH-5 upto type 1 quarter of hp printing press colony.,From type 1 quarter of hp printing press colony walking along the NH-5 upto the jungle area near oak cottage.,From the jungle area near oak cottage walking along the jungle upto roorkee niwas on the chakkar bouileuganj bypass road.
Banshidhar,12,7,"Starting from Rose villa New himachal sweets moving on cart road covering Sood general store, Uttam traders upto nala near Zodica agencies.","From Nala near Zodica Agencies moving along nala covering narayan bhawan, Hotel raj villa upto juction of Nala and path near uttam traders beside lalpani school (excluded.)",From junction of nala and path near uttam traders beside lalpani school moving on path upto Garden view.,"From Garden view moving on stairs covering Kesri bhawan, Sun and snow hotel upto the point of start. i.e Rose villa New Himachal sweets."
Banshidhar,9,31,"Starting from Saraswati niwas along the stairs walking upwards upto Ram chander niwas covering thakur niwas of jagannath thakur, anganwadi kendra.",From Ram chander niwas along the stairs upto the Bhag singh niwas until the MC boundary covering house of mohan.,"From Bhag singh niwas walking along the stairs upto Saligram niwas of Saligram covering vaishali niwas, raksha niwas, sharma niwas.",From Saligram niwas walking along the path upto saraswati niwas.
Banshidhar,9,10,"Starting from saraswati niwas walking along the chakkar bouileuganj bypass road upto suraj lal provisional store covering shakti kunj, curve villa.","From suraj lal provisional store walking along the way upto Nehru cottages covering thakur villa, goel apartments block-1, hotel shimla palace.","From Nehru cottages walking along the way upto khullar building covering goel apartments, pooja apartments , sandal cottage, hem kunj, anand kutir.","From khullar building walking along the upto saraswati niwas covering wanchum apartments, physiotherapy centre, sai mandir, bhakt villa, hope villa-2."
Banshidhar,9,14,"Starting from sarla bhawan on the NH-5 belonging to sarla devi alonside sunrays school covering all the buildings upto the path above the building under construction covering thakur niwas, cliff villa.","From the path above building under construction walking along the path reaching upto sharma niwas of naresh sharma covering verma niwas, gupta niwas, kamla bhawan.",From sharma niwas of naresh sharma walking along the path reaching the hotel aggarwal regency covering hotel sunshine regency on the NH-5.,"From the hotel aggarwal regency walking along the NH-5 upto sarla bhawan covering hotel swastik inn , megha complex, chintpurni complex, satyam paradise hotel,bansal niwas, rathore niwas."
Banshidhar,9,15,"Starting from Savitri cottage of Sh. Buddhi singh near the maruti suzuki genuine parts shop walking along the NH-5 upto Bhardwaj House covering Hotel hari palace, Pooja cottage, Hotel le gourmet regency.","Walking from bhardwaj house along the stairs downwards beside bhardwaj house upto dhameja bhawan covering kainthla niwas, nityanand house.","From dhameja bhawan walking upto the Great urban dhaba on the NH-5 covering rakesh lodge, ekta niwas.","From the Great urban dhaba walking along the NH-5 covering Lakshmi bhawan, asha bhawan upto savitri cottage."
Banshidhar,10,17,"Starting from SBI employees housing society Block C walking along the path upto Tanwar niwas of Kaushalya upadhaya covering dean dale, sbi employees housing society block A and B, shanti niwas and Govt middle school.","From tanwar niwas alongside the staircase, walking along the stairs upto Ashirwad niwas belonging to Layak ram covering khanna niwas, chauhan niwas excluding shiv mandir on the stairs.","From ashirwad niwas of layak ram walking along the path upto Ekta Apartments Block D covering new bhawan, house of divya thakur and Ekta apartments Block A.","From Ekta apartments Block D walking upwards upto the SBI employees housing society block C covering krishna niwas, house of nandu and lal singh."
Banshidhar,10,24,"Starting from shiv mandir near the rajkiya praathmik/maadhymik paathshala walking along the road upto the jungle area near himachal hospital for mental health and rehabilitation covering stray dog birth control society, hospital accommodation quarters.",From the jungle area near the himachal hospital for mental health and rehabilitation walking upto thakur building near the staircase below roop niwas belonging to draupadi devi.,From thakur building near the staircase below roop niwas belonging to draupadi devi walking upto the hotel shimla view belonging to S.R Khajuria.,"From the hotel shimla view walking along the path upto the shiv mandir covering dean cottage, m.c toilets, panu ram house, sunrise cottage, sharma niwas of S.K sharma, rajkiya praathmik/maadhyamik paathshala."
Banshidhar,11,12,Starting from stairs near Dhiman House moving on shimla byepass Road upto Autotech.,"From Auto Tech moving on path covering NBPGR, Uttam niwas, Bhatia lodge upto Thakur Niwas.","Imaginary boundary from Thakur niwas covering Arji niwas, Kangru Ram building , Shanti sadan upto Sharma niwas.","From Sharma niwas moving on path covering House of Aalsi Bhatnagar, Sudershan Building , Ram kutir upto the point of start. i.e. Stairs near Dhiman House."
Banshidhar,10,20,"Starting from swayamsidha walking westwards upto the link road at a point near shiv niwas houses landmark being Shiv mandir covering Ravi nikunj, prakash vatika.","From the point on the link road near the shiv niwas walking downwards upto the crossing point near prem niwas opposite to rescue and rehabilitation cum monkey sterilization centre(Excluded) covering shanti bhawan, house of mohan and kishan singh, babu ram cottage, sai villa, nirmal bhawa, directorate of women and child development.",From the crossing point near prem niwas on the link road walking along the link road upto dhiman house on the link road covering forest range quarters and zoo quarters.,"From dhiman house walking upwards upto the swayamsidha covering house of shiv singh thakur, shivangan niwas, tripta niwas, kamal kunj."
Banshidhar,11,11,Starting from Thakur Ambuja Cement store at Phagli chowk moving on shimla bye pass road upto Nala.,From nala moving downward along nala upto ward boundary.,"From ward boundary moving on ward boundary covering Sheesh Ram house, verma House, Pooja niwas upto kishore bhawan.","Imaginary boundary from kishore bhawan covering jagat niwas, Apex Apartment, Chandel niwas, kondal niwas, Heer kunj upto Thakur Ambuja cement store at phagli chowk."
Banshidhar,11,23,Starting from the Block A type 3 (set no-1 to 8) walking along the path eastwards upto the Aangan/prateeksha building covering the Rajkiya praathmik paathshala.,From the Aangan/prateeksha building walking along the path upto the Block B type I.,"From the Block B type I walking along the path upto the Block B type 2 near the Gurudwara(excluded) covering the Block A, Block C.",From the Block B type 2 walking along the path up to the starting point i.e Block A type 3 (set no-1 to 8) covering post office.
Banshidhar,10,2,"Starting from the chakkar-boileauganj bypass on the NH-5 walking downwards along the path beside deepak project building upto shiv mandir (excluded) covering kapoor cottage, deepak project quarters, bali ram thakur house.","From the point near shiv mandir(excluded) taking the stairs downwards upto devi bhawan belonging to Om prakash sharma covering bau ram building, satya niwas and dasoda niwas.","From devi bhawan walking along the ward boundary nala upto the main road Nh-5 near the deepak project covering panu ram colony, kashmir chand building.",From the point along the ward boundary near the nala walking along the NH-5 upto the chakkar-boileauganj bypass.
Banshidhar,11,16,Starting from the house of sher singh in the tibetan colony walking upto the the hppwd enquiry nabha store(closed).,"From the hppwd enquiry nabha store walking downstairs then along the path upto the Block no-R Type 2 (141-152) covering house of shiv kumar, shop area.",From the Block no-R type 2(141-152) walking along the ward boundary upto the Block P type 2(113-120).,From the Block P type 2(113-120) walking along the pathway in the tibetan colony upto the starting point i.e house of sher singh.
Banshidhar,11,1,"Starting from the HP Cooperative development federation printing press office on the cart road walking along the path upto the Railway Quarter T-43 covering the regional transport office, hotel the firhill.",From the Railway quarter T-43 walking along the path upto the Trainees hostel marlin lodge .,"From the Trainess hostel marlin lodge walking along the ward boundary upto the house of vivek jamwal covering raj apartments, dogra lodge, uttam bhawan.",From the house of vivek jamwal walking along the ward boundary upto the starting point which is HP Cooperative development federation printing press office covering foreign office cottage.
Banshidhar,11,17,Starting from the junction on the cart road near the Oberoi Cecil parking and 103 tunnel then walking along the cart road eastwards up to the ward boundary nala on the cart road covering railway station.,From the point at ward boundary nala on the cart road walking downwards upto the upto the Government Sanskrit college building covering railway quarters along the nala ward boundary.,"From the Government Sanskrit college building walking along the cart road-nabha-phagli road upto the Block number 36 covering Vivekanand kendra kanyakumari, shopping complex nabha.","From the Block number 36 walking along the pathway upto the starting point i.e the junction near the oberoi cecil parking a lot(excluded) covering Rajkiya ayurvedic health centre, anganwadi kendra."
Banshidhar,10,3,"Starting from the MC Car Parking at the junction walking eastwards along the shimla bypass road upto the road beside the Tutikandi bus terminus(excluded) covering HP power transmission corporation ltd office, jal shakti bhawan, surkanda devi mandir.","From the road point beside the Tutikandi bus terminus(Excluded) walking along the same path upto the point in jungle below the house of Om Prakash tanwar covering Ekta apartments block B and C, Sai bhawan, anil bhawan, tanwar niwas, jai singh thakur house.","From the point in jungle nearby the house of om prakash tanwar walking westwards upto the himachal tourism office on NH-5 near the pure veg highway dhaba covering jariyal house, nikka ram niwas, thakur niwas of leela thakur.","From the himachal tourism office on NH-5 walking along the NH-5 northwards upto the MC Car parking covering Hindustan petroleum petrol pump, Nagar nigam committee building, mehta building, HP Gas agency, Masjid barrier shimla kabristan."
Banshidhar,11,2,"Starting from the nala ward boundary near the Circuit house, shimla walking along the Chaura Maidan road upto the Gorton Castle covering Akashwani kendra, the oberoi cecil, Sanitaurium hospital, Vidhan sabha.",From Gorton Castle walking along the ward boundary upto the cart road.,"From the cart road walking along the cart road upto the medics training centre ssb shimla covering Wood bank Rest house, Vidhayak sadan block-A,B,C.",From the Medics training centre walking along the kaccha path opposite the Regional transport office(Excluded) upto the starting point i.e. nala ward boundary near the Circuit house covering willy park quarters.
Banshidhar,9,29,"Starting from the patwarkhana building near Tvs lovneesh motors on the NH-5 upto the golden fern resort covering hotel shail, shandil niwas.","From the golden fern resort walking upto lalman niwas near the jwala mata mandir(excluded) alongside the town boundary covering rockden estate, asia the dawn hotel.","From lalman niwas walking along the path upto the Pine cone hotel covering the silicon inn bnb , verma flats, chaddha niwas, sai niwas.","From the hotel pine cone walking along the NH-5 upto the patwarkhana building near tvs lovneesh motots covering hotel asia the dawn, moden automobiles."
Banshidhar,10,6,Starting from the Shimla bypass road junction near the library below the rain shelter opposite to the rajkiya praathmik paathshala (excluded) walking along the nala ward boundary eastwards upto the town boundary near the house of Indra covering anand kuti.,From the town boundary near the house of Indra walking along the jungle town boundary upto the point on the town boundary near geeta bhawan covering verma and thakur niwas.,"From the point on the town boundary near geeta bhawan walking upwards upto Hira niwas belonging to anand kaushal covering IARI quarters, Spehia niwas, gurmukh lodge, dev lodge.","From hira niwas of anand kaushal walking northwards upto the junction at shimla bypass road near the library below the rain shelter covering khanna lodge, Shiv mandir, kamlesh sharma electricals , hair dresser, confectionary shop."
Banshidhar,9,21,"Starting from the Simla building verka office opposite to rana house of H.S Rana (excluded) walking along the path upto the HPSEBL electricity supply building alongside town boundary covering hotel snow lotus, alpine cottage, Sankat mochan mandir, rajkiya praathmik paathshala.",From the hpsebl building walking along the town boundary upto the gupta niwas belonging to kamlesh gupta.,"From the gupta niwas alongside the town boundary walking along the path upto the Goyal motors pvt ltd on NH-5 covering shri mahakali mandir, mathur niwas, walia niwas.","From the goyal motors pvt ltd building walking along the NH-5 upto the simla building verka office covering toyota service station, thakur building, hotel tara regency, crosswinds west hotel."
Banshidhar,9,16,Starting from the Snow View Mahindra on the NH-5 walking along the jungle upto the point at town boundary in jungle.,"From the point in jungle upto the abandoned building near kirpu niwas covering thakur niwas of budhi ram thakur, sharma house","From the abandoned building near the kirpu niwas walking along the stairs upwards upto kawasaki retail store on the NH-5 road covering solo home bnb, gautam niwas complex, dargah store, ramkamal.","From Kawasaki retail store on the NH-5 walking along the road upto the snow view mahindra building covering hotel aachman regancy, aachman regency, jatinder lodge."
Banshidhar,10,19,"Starting from The Starwood hotel at the jucntion opposite to house of Vijay sharam (Excluded) moving eastwards upto Neelkanth bhawan covering Girdhari lal bhargav estate, somraj house, om niwas, bhargav lodge.","From Neelkanth bhawan walking along the road upto Thakur niwas of lekh ram thakur covering Chawla house, Mahajan house, ashirwad bhawan, parvati kunj.","From thakur niwas of lekh ram thakur taking stairs upwards upto Buddh ashram covering kapil bhawan, chet ram bhawan, raghubir cottage, shanti kiran niwas.","From buddh ashram walking along the path upto the hotel starwood covering ambika apartments, bhajan cottage and ram ashram."
Banshidhar,10,25,"Starting from the store room nearby nala near Ravinder house walking along the path upto Rana niwas of K.D Rana covering Ravinder house, Gaushala.","From Rana niwas of K.D Rana walking along the path downards upto Sant kuti covering Rawat niwas, pioneer cottage, Saini cottage, Bahalwal Cottage and rk house.","From sant kuti taking the stairs downwards upto the house of Manu thakur on link road near Sai general store covering thakur apartments, verma niwas, pal bhawan.","From the house of Manu thakur on the link road walking along the same road upto the store room nearby nala excluding the Nirvana hotel complex viz under construction covering santosh bhawan, rattan cottage."
Banshidhar,10,5,Starting from the trainees hostel marlin lodge walking eastwards along the ward boundary upto the main shimla bypass road near HP electricty Sub Station covering junglee quarters .,From the ward boundary point on the shimla bypass road near HP electricty Sub Station walking southwards upto the rajkiya kendra praathmik paathshala covering lamba government quarters .,From the Rajkiya kendra praathmik paathshala walking along the shimla bypass road upto the staircase near ambika mata mandir opposite to the tutikandi bus terminal(excluded). Terminal shops are also excluded.,"From the staircase near ambika mata mandir walking upstairs upto the trainees hostel marlin lodge covering marlin park quarters , ssb trainees hostel."
Banshidhar,9,22,"Starting from the vaid building near the bus stand walking along the chakkar bouileuganj bypass road upto the vashisht kunj covering nirmala house, aanchal niwas, chaudhary niwas.",From Vashisht kunj walking along the stairs downwards upto the kapil niwas.,"From kapil niwas walking along the boundary through jungle upto the aggarwal niwas covering sharma niwas, lakshmi bhawan.","From aggarwal niwas walking along the jungle boundary upto the vaid building ceovering vaid building 2, house under c onstruction."
Banshidhar,10,18,"Starting from tutikandi bus terminus/hotel CK international walking along shimla bypass road upto haryana lodge near chanchal store covering tanwar niwas, bir singh cottage, hotel aangan regency, peace cottage.","From haryana lodge walking along the path upto the building under construction near buntun (excluded) then moving forward upto the MC toilets opposite verma apartments (excluded) covering geeta mandir complex, tri bhawan, draupadi niwas.","From MC toilets moving westwards upto santosh niwas belonging to Gauri shankar covering kahnog houses, lokesh bhawan.","From santosh niwas of Gauri shankar moving northwards upto the tutikandi bus terminus coering shiv mandir, tata motors."
Banshidhar,12,9,starting from vacant area near Asmi Residency (excluded) moving on shimla bye pass road covering Rain shelter upto nala near MC line buildilng.,"From Nala near MC line building moving along nala covering Rajkiya madhyamik pathshala ramnagar, Rock heaven upto ward boundary in jungle .",From ward boundary in jungle moving on ward boundary covering house of Joginder pal chaudhary upto house of Sandesh kumar.,"From house of sandesh pal moving along nala/ path/ stairs covering sewati niwas, gyan bhawan, Rock cottage, SSP Army Quarter upto the point of start. i.e. vacant area near Asmi Residency (excluded)"
Banshidhar,12,3,starting from victory tunnel (excluded) moving on cart road upto mail motor service India Post.,Imaginary boundary from mail motor service india post covering entire kusht colony upto mochi colony (excluded),"Imaginary boundary From mochi colony (excluded) movinng on boundary of kusht colony dharas covering all dharas of kusht colony , post office quarters , BSNL quarters upto vacant area near Railway quarter L171.",Imaginary boundary through Jungle covering Railway quarter L171 upto the point of start.i.e victory tunnel (excluded)
Banshidhar,9,23,Starting from Vidya kanwar bhawan walking upto the kawasaki retail store then forwards upto Salotri wale bababji Dargah covering Snow valley resorts.,"From salotri wale babaji dargah walking along the stairs downwards upto the Ankur kutir covering Sunny cottage, tara cottage.",From Ankur kutir walking upto the nala near vidya kanwar house covering building under construction.,From nala near vidya kanwar house walking along the nala upto Vidya kanwar bhawan.
Basant Kumar,34,11,Govt girls senior secondary school and Hostel,Govt girls senior secondary school and Hostel,Govt girls senior secondary school and Hostel,Govt girls senior secondary school and Hostel
Basant Kumar,22,20,Starting form Thakur Lodge on the Lower cemetery road covering Kashyap Niwas and coming up to Govt Primary School Froud,From Govt Primary School Froud moving downward on stairs and path upto Rohlta Niwas above Bhattakufar Bye Pass.,From Rohlta niwas coming downward on Bhattakufar Bye pass and moving along the same coming up to Hill Grover School Hostel.,From Hill Grovre School Hostel moving upward on the path along side Nala covering Gita Bhawan Inder Pal Niwas and coming up to Thakur Lodge the starting point of the block
Basant Kumar,23,28,Starting from Ahmed Niwas moving on upper cemetery path covering Kartik Niwas and coming up to Peace cottage,From Peace cottage moving downward on stairs covering Om niwas Verma niwas and coming up to Bairagi Niwas,From Bairagi Niwas moving on lower cemetery road covering Negi Niwas and coming up to Deepak Cottage,From Deepak cottage moving upward covering Rajinder cottage Ish niwas up to Ahmed Niwas starting point of the block
Basant Kumar,22,22,Starting from Aishwarya Lodge moving on the path covering house of Harish Soni and coming up to house of O.P Advocate,"From the House of O.P Advocate moving downward on the path covering Ambika Niwas, and coming up to Naryan Niwas",From Naryan Niwas moving along the stairs and path covering Tara Cottage and coming up to Het Ram Niwas,From Het Ram Niwas moving upward on the stairs and coming up to Aishwarya Lodge the starting point of the block
Basant Kumar,21,9,Starting from Amin Chand Ajay Kumar shop moving on NH covering UCO Bank Govt Sen Sec. School Dhalli chander Kumar banta house up to the junction of Sunni and kufri roads,From junction of Sunni and kufri roads moving on upwards along the forest area and covering Jagdish Gupta bakery Durga Mata Temple Sona public school coming up to Partap sing house on the ward boundary,From Partap sing house moving downward on the stairs covering Bitti niwas Anil verma house Kanwar niwas and coming up to Chauhan niwas on the ward boundary,From Chauhan niwas moving upward on the path covering Bhagat Ram house Sham niwas Bikta niwas Abhay kunj further moving upwards and coming up to Amin chand Ajay kumar shop the starting point of the block
Basant Kumar,22,26,Starting from Apple Estate on the upper cemetery path covering Shiv niwas Piyush Lodge Kumarsain Sadan and coming up to Ved Niwas,From Ved Niwas moving downward on the stairs covering Rolta niwas and coming up to Saroj Niwas,From Saroj Niwas Moving on the road up to Nala adjacent Vikrant Niwas Which is excluded,From the Nala Moving upward covering Bhardwaj Niwas and comming up to Apple Estate the starting point of the block
Basant Kumar,13,4,Starting From Apsara hotel moving on the road Covering Tara View Hotel to Deepak agency.,From Deepak Agency moving downwards on the road covering Ghoda Sarai and coming upto MC building.,From MC building moving on the path covering Mandir and nala and coming upto Joshi building.,from Joshi building moving upstairs covering house O.P. Vij to Apsara hotel
Basant Kumar,23,14,Starting from ASHA thakur niwas on the path covering Gokul niwas BSNL Tower coming up to Fruit Mandi on Bhattakufer Bye pass,From Fruit Mandi moving on the bye pass covering Jai Maa Health care coming up to Shivalik Institute of Nursing,From Shivalik Institute of Nursing moving upward covering Manta niwas coming up to Chandel Niwas comprising Rakesh Knitwear,From Chandel niwas moving upward covering Shastri niwas moving on the stairs and coming up to Asha thakur niwas the starting point of the block
Basant Kumar,21,11,Starting from Bazaar junction on the Mashbora road moving upward covering Bazzar area Gaurav House Rose wood Dhaba Hotel Club Mahindra and coming up to Shri Ram kutir near Mashobra two Rain shelter,From Shri Ram Kutir moving downward on the path and coming up to mathi devi niwas on the Town boundry,From Mathi Devi niwas moving along the town boundry covering club Mahindra Flats Post office BSNL office and coming up to house of Brama Nand Sharma,From the House of Brama Nand Sharma moving along road covering Radha Krishan Mandir and coming up to Bazaar Junction on the Mashobra Road starting point of the block
Basant Kumar,13,3,Starting from Gurudawra moving on cart road covering hotel Trimurti public toilets and coming up to Rudra Handloom.,From Rudra Handloom moving downwards on stairs covering house of Gaurav Surender Singh and the house of Mumtaj and coming up to the house of sabharwal Krishna..,From the house Sabharwal Krishna moving on stairs Covering house of Raju testing family aastha niwas community centre GMC Clinic and coming up to house of Upender Singh(house no. 135).,From house of Upender Singh (house no. 135) moving upstairs and coming up to Gurudwara.
Basant Kumar,34,14,starting from himland nala near Dyerton Bizhub going Shimla byepass road covering nursing hostel harish niwas upto tolland naka near sara apartments Block-B.,From tolland naka near sara apartments Block-B moving downwards the stairs covering om niwas then moving along the local road covering vinayak bhawan upto Dr. Vinod & Jyoti Mehta house on right excluding jugdambe house om sai bhawan.,From Dr. Vinod & Jyoti Mehta house going along same local road upto Verma apartments AB.,From Verma apartments AB covering natural water tank bawri going upwards the himland nala upto the starting point Himland nala near dyerton Bizhub on shimla byepass road.
Basant Kumar,34,13,Starting from Hotel himland east going along cart road covering leeladhar enterprises savitri public school on right and upto nala near Leeladhar Gen Store near rain shelter tolland.,from nala near Leeladhar Gen Store near rain shelter tolland going along shimla byepass road covering alpine villa and upto amar building alias cottage,from this point going along shimla byepass road covering marry cottage om washing center and upto govt middle school.,from thus point going upwards the stairs covering shiv mandir krishna cottage joshi building and upto himland east the starting point
Basant Kumar,34,8,Starting from House of Narender going along the main road towards DHFL amar ujala covering all houses on right side upto St Edward School,from this point going downwards the stairs along the st edward school boundary covering all houses on right dyanwati house and upto house of dharampal sharma excluding govt middle school shivpuri,from this point going downwards upto shimla byepass road and then going along this byepass road covering panchwati building upto CPRI office,from this point going along potato research road covering friends villa on right and upto house of Narender near nirankari bhawan.
Basant Kumar,34,9,Starting from Howkas ford house of B R Nanda moving towards Bamloe Nallah covering Bamloe Store and coming upto Metro Motors works.,From metro motors works moving upwards covering KNH Hospital crossingword Restaurant(excluded) keep moving on the road and coming upto CM Residence.,From CM Residence moving downwards on the path near public toilets (excluded) covering house of Bhagirath Thakur computer training and Urdu teaching centre Vij House Lakhanpal niwas Surjit Singh Sibiya and coming upto Charan Jit Singh Summer Villa.,From house of Charan Jit Singh Summer Villa moving on the road covering HPF Middle East SR quarters block1 and coming upto Howkas ford house of BR Nanda which is the starting point of the Block.
Basant Kumar,22,19,starting from Jeet Ram Niwas moving on lower cemetery road and coming up to Charas Niwas on the ward boundry,from Charas Niwas moving downward on Kacha Path covering Chinmay Bhawan Thakur niwas coming up to Rathore Niwas above Bhattakufar Bye Pass Road,From Rathore niwas above Bhattkufar Bye pass moving on the kacha path covering Chauhan Niwas and coming up to Gaurav Lodge,From Gaurav Lodge moving upward along the path covering Chinmay Bhawan and coming up to Jeet Ram Niwas the starting point of the block
Basant Kumar,13,5,Starting from junction of Krishana nagar and Cart road near the Deepak Ashish Agency (Excluding) near Rajiv Bhawan Moving on cart road covering m.c qtr Vatnary Hospital Rajeev Bhawan and coming up to the ward boundary combarmare nala near house of Atul.,From ward boundary combarmare nala near house of Atul moving downward on nala covering Rajinder house coming up to the house of Navjot.,From Navjot house moving towards west covering house of Prem Sandhu and coming up to the house of Raj kumar near kuldevi mandir (Excluding),From the house of Rajkumar near kuldevi mandir (Excluding) moving upward on stairs covering M.C Qtr coming up to the Krishana Nagar road moving upward on the same covering Valmiki Mandir house of Nirmal and coming up to the junction of cart road and Krishana Nagar road near Deepak Ashish Agency (Excluding) Which is the starting point of the block
Basant Kumar,21,10,Starting from junction of mashobra and kufri roads moving along the mashobra road covering HIPA Campus and coming up to Salig ram Dhaba on the Town boundary,From Salig Ram Dhaba moving inwards on the Mashobra two and one link road and coming up to CHC Mashobra,From CHC Mashobra moving on the link road covering Crispin Church Nari Niketan and coming up to Mashobra one Bus stop,From Mashobra one bus stop moving along Sunni Road covering Hotel Fairlawns and coming up to junction of Mashobra and Kufri Roads the starting point of the block
Basant Kumar,22,21,Starting from Kailash Bhawan on the lower cemetery road and coming up to Vikas bhawan,From Vikas Bhawan moving downward on the path covering Parkash Kutir upto Surju niwas on the Bhattakufer bye pass road.,"From Surju niwas, moving on the Bhattakufar bye pass and coming up to Akrit Niwas",From Akrit Niwas moving upward on the stairs covering Atul Niwas and coming up to Kailash Bhawan the starting point of the block
Basant Kumar,13,20,Starting from Kalicharan building moving on the path to Chaman Singh Building.,"From Chaman Singh building along nala and path covering house of Surinder Singh, to Public Toilets.",From Public toilets moving on the road covering Sri khand store Cidar View and coming upto house of Sonam at luv kush chowk.,From The house of Sonam at Luvkush chowk moving on stairs covering Aanand Niwas to Kalicharan building.
Basant Kumar,21,8,Starting from Kapoor hair cutting saloon moving on NH covering Snooker pool and coming up to Chandan auto spares,From Chandan auto spare moving on the path covering Gomti niwas Aman niwas and coming up to Manorama niwas near Durga Mandir which is excluded,From Manorama Niwas moving on path covering Gupta niwas and coming up to Kamal niwas,From Kamal niwas moving upwards on the stairs covering Basant Building and coming up to Kapoor Hair cutting saloon the starting point of the block
Basant Kumar,21,12,Starting from Kapoor niwas moving along the path covering house of Happy niwas upto Happy Gen Store(Durga Mata Temple excluded).,From Happy Gen store Moving Downward on the town boundry and coming up to the house of Mohan Lal Sharma,From Mohan Lal Sharma house moving on the churat nala road and coming up to junction from where the road bifurcates,From junction on the churat nala road moving upward covering Partap niwas Kanwar niwas and sai niwas coming up to Kapoor Niwas the starting point of the block
Basant Kumar,22,5,Starting from Lambardar Pinky house moving along the ward boundary covering Sona Bhawan and coming up to back side of Dhalli tunnel,From the back side of Dhalli tunnel moving on the Bhattakuffer bye pass road and cooming up to stairs near Sharda mansion indcluded next stairs,From Sharda Mansion moving upward on the stairs of ward boundary covering Thakur niwas Sharda Bhawan Tekta niwas and coming up to cemetery gate on the ward boundary,From cemetery gate moving on path covering Brij niwas KK house Joshi niwas and excluding Gitanjli Bhawan further coming up to Lambardar Pinky house the starting point of the block
Basant Kumar,22,23,Starting from M.S. Jina Niwas on the Cemetery road covering SBI ATM and LIC office and coming up to house of ID Bali,From the house of ID Bali moving downward and coming up to Hem Kunj,From Hem Kunj moving on path Covering Mahavir Cottage and coming up the Body Town Building,From Body Town Building Moving upwards on the stairs and coming up to M.S Jinha Niwas the starting point of the block
Basant Kumar,34,6,Starting from MC parking near combermere nala going along the old bus stand talland road covering block 4 servant quarter on right side and upto the entrance of cpri office block 7 near bemole nala,From this point going along the cpri colony road covering bunglow C9 block 5 servant qyarter going downstairs upto block D E type 3 excluding block ABC type3,from this point going along the nala area covering bunglowD3 upto D4,fron this point going along the imaginary path junglealias nala side Covering Bunglow C10 upto MC parking the starting point
Basant Kumar,13,2,Starting from MC parking on Ripon Nala near house of Usha devi moving towards east on cart road covering Chanda transport co. Krishna coal co. M.c office coming up to the sachiv niwas near gurudawra which is excluding,From sachiv niwas near gurudawra which is excluding moving downward covering ghadi Khana m.c QTR block1 pinky house ram avatar moving downward on stairs Gopal Raj house coming up to the bhatia niwas on LALPANI road,From Bhatia niwas on LALPANI road moving on the same covering gurmeet Singh house Madan LAL Bantu house coming up to the house of Mahinder near Ripon Nala which is the ward boundary,From house of mahinder near Ripon Nala which is ward boundary moving upwards covering house of rajpal anad bhatia house of bhag ram house of Rohit coming up to the MC parking on Ripon Nala near house Usha devi which is the starting point of the block
Basant Kumar,23,17,Starting from Mohindra Niwas moving on the upper cemetery road covering Leela Niwas Jyoti Niwas and coming up to Negi Niwas,From Negi Niwas moving downward on the stairs above nala covering Bhandari Niwas Deep Ram Niwas the point where the nala meet the lower cemetery road near Deepak Cottage (Excluding),From the house of Deep Ram moving on the lower cemetery Road covering Tegwan Building and coming up to Lalta Niwas,From Lalta niwas moving upward on the Stairs covering Ridh vati Cottage and coming up to Mohindra niwas starting point of the block
Basant Kumar,23,13,Starting from Munish Kutir near cemetery gate on the ward boundary moving along the path coming up to House of Joginder Pal,From House of the Joginder Pal moving downward coming on the bhattakufar bye pass coming up to Mapple Hill Plaza,From Mapple Hill Plaza moving again on the Bhattakufer bye pass and coming up to Sanket Hights,From Sankert Hights moving upward covering Mohan building coming up to Cemetery gate on the ward boundary which is the starting point of the block
Basant Kumar,23,15,Starting from Nala opposite Bairagi niwas which is excluded moving on lower cemetery road covering Basant kunj Balson house Mehta niwas post office Kamla nager up to HPPWD on the Bhattakufer Bye pass,From HPPWD office on the Bhatta kufar bye pass moving on road covering HPSEB office and coming up to Bhattakufar chowk,From Bhattakufar chowk moving on byepass road covering Tulsi ram niwas Sharma apartments J. G Appartments up to Nala near Archana arcade which is included,From Archana Arcade moving upward along Nala covering vacant land Kiran niwas up to Nala opposite Bairagi Niwas the starting point of the block
